#indeks SVC DBSCAN
1 BIN 0
2 BIN 0
3 MAB 0
4 MAB 0
5 MAB 0
6 CMP 0
7 CMP 0
8 MAB 0
9 MAB 0
10 CMP -1
11 CMP -1
12 MAB -1
13 MAB 0
14 HAE -1
15 CMP 0
16 CMP -1
17 MAB 0
18 CMP 0
19 MAB 0
20 CMP -1
21 CMP 0
22 MAB 0
23 CMP 0
24 MAB 0
25 CMP 0
26 DIB -1
27 HAE -1
28 TRI -1
29 HAE -1
30 BIN 0
31 BIN 0
32 HAE 2
33 BIN 0
34 BIN 0
35 MAB 0
36 CMP -1
37 CMP -1
38 MAB 0
39 HAE 0
40 CMP 0
41 HAE 2
42 MAB 0
43 MAB 0
44 MAB 0
45 HAE -1
46 DIB -1
47 DIB -1
48 HAE 0
49 MAB 0
50 MAB -1
51 BIN 0
52 CMP 0
53 CMP 0
54 CMP -1
55 MAB 0
56 BIN 0
57 MAB 0
58 MAB 0
59 BIN -1
60 HAE -1
61 BIN 0
62 BIN 0
63 CMP -1
64 CMP -1
65 CMP -1
66 MAB 0
67 HAE -1
68 HAE -1
69 CMP -1
70 MAB 0
71 HAE -1
72 CMP 0
73 HAE 2
74 BIN 0
75 HFR 0
76 MAB 0
77 DIB 0
78 TRI -1
79 BIN 0
80 BIN 0
81 TRI -1
82 BIN 0
83 BIN 0
84 BIN 0
85 MAB -1
86 HFR 0
87 HAE -1
88 DIB 0
89 CMP 0
90 BIN 0
91 BIN 0
92 BIN 0
93 BIN 0
94 CMP 0
95 BIN 0
96 BIN 0
97 DIB 0
98 CMP 0
99 MAB 0
100 MAB -1
101 MAB 0
102 BIN 0
103 MAB 0
104 BIN 0
105 BIN 0
106 BIN -1
107 CMP 0
108 CMP 0
109 HAE -1
110 MAB 0
111 CMP 0
112 HAE -1
113 HAE -1
114 HAE -1
115 HAE -1
116 HAE -1
117 CMP 0
118 HAE -1
119 CMP -1
120 HAE -1
121 HAE -1
122 CMP 0
123 BIN 0
124 BIN 0
125 MAB 0
126 CMP -1
127 CMP 0
128 CMP 0
129 MAB 0
130 BIN -1
131 MAB -1
132 MAB -1
133 MAB -1
134 BIN -1
135 MAB 0
136 CMP 0
137 HFR 0
138 MAB -1
139 BIN -1
140 HFR 0
141 HAE -1
142 BIN 0
143 TRI -1
144 CMP 0
145 HFR 0
146 BIN 0
147 HAE -1
148 BIN 0
149 TRI -1
150 BIN 0
151 BIN 0
152 BIN 0
153 BIN 0
154 BIN 0
155 MAB 0
156 BIN 0
157 BIN 0
158 MAB -1
159 MAB 0
160 BIN 0
161 MAB 0
162 MAB 0
163 DIB 0
164 HAE -1
165 BIN -1
166 MAB 0
167 CMP 0
168 HAE -1
169 BIN 0
170 HAE 2
171 HAE -1
172 BIN 0
173 MAB 0
174 BIN 0
175 MAB 0
176 HFR 0
177 HAE -1
178 MAB 0
179 MAB -1
180 MAB 0
181 HAE -1
182 HFR 0
183 HFR 0
184 HFR 0
185 HAE -1
186 BIN 0
187 BIN 0
188 BIN 0
189 TRI -1
190 BIN 0
191 DIB 0
192 BIN -1
193 HAE 0
194 BIN -1
195 HFR 0
196 MAB 0
197 BIN 0
198 BIN -1
199 MAB -1
200 HAE -1
201 BIN -1
202 BIN 0
203 HAE -1
204 BIN 0
205 HAE 0
206 MAB 0
207 MAB 0
208 BIN 0
209 BIN 0
210 TRI -1
211 BIN 0
212 BIN 0
213 BIN 0
214 CMP 0
215 CMP 0
216 HAE -1
217 MAB -1
218 CMP -1
219 BIN 0
220 MAB 0
221 BIN 0
